,content
16, autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de l'Union des Republiques socialistes sovietiques sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres)
17, d'un accord budgetaire entre le gouvernement de la republique francaise et le gouvernement du royaume du Maroc
18,SANT L'APPROBATION D'UN ACCORD-CADRE RELATIF A L'AIDE ET A LA COOPERATION EN MATIERE DE RECHERCHE SCIENTIFIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DE COTE D'IVOIRE
19," d'un accord en matiere d'enseignement, de culture, de sports, de communication audiovisuelle et de presse entre le gouvernement de la Republique francaise et le gouvernement du Burkina Faso et d'un echange de lettres rectificatif"
20, autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Roumanie sur le statut et les modalites de fonctionnement des centres culturels
21," d'un accord de cooperation scientifique, technique et culturelle entre le gouvernement de la Republique francaise et le gouvernement de la Republique populaire Lao"
22,"TE PAR LE SENAT AUTORISANT L'APPROBATION D'UN ACCORD SUR LA COOPERATION CULTURELLE, SCIENTIFIQUE ET TECHNIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE POPULAIRE DU BANGLADESH"
23, d'un accord de cooperation technique en matiere de personnel entre le Gouvernement de la Republique francaise et le Gouvernement du Burkina Faso
24,"  autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et l'organisation de cooperation et de developpement economiques relatif a la protection sociale des membres du personnel employes par ladite organisation sur le territoire francais, signe a Paris le 24 septembre 1991"
25,"risant l'approbation de la convention d'application de l'accord de Schengen du 14 juin 1985 entre les gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes"
26,
27,"i  autorisant la ratification de l'accord en matiere de brevets communautaires, ensemble la convention relative au brevet europeen pour le marche commun (convention sur le brevet communautaire) et un reglement d'execution, le protocole sur le reglement des litiges en matiere de contrefacon et de validite des brevets communautaires (protocole sur les litiges), le protocole sur les privileges et immunites de la cour d'appel commune, le protocole sur le statut de la cour d'appel commune, ainsi que la ratification du protocole  relatif a"
28,UTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'ORGANISATION INTERNATIONALE DE POLICE CRIMINELLE (INTERPOL) RELATIF A LA PROTECTION SOCIALE DES AGENTS DE L'ORGANISATION EMPLOYES SUR LE TERRITOIRE FRANCAIS
29, d'un accord entre le gouvernement de la Republique francaise et le Conseil executif de la Republique du Zaire en vue d'eviter la double imposition en matiere de transport aerien en trafic international
30,  autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique argentine sur l'encouragement et la protection reciproques des investissements (ensemble une declaration)
31, AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LA BANQUE DES ETATS DE L'AFRIQUE CENTRALE RELATIF A L'ETABLISSEMENT A PARIS D'UN BUREAU DE LA BANQUE DES ETATS DE L'AFRIQUE CENTRALE ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE UNE ANNEXE)
32," autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie, sur le statut et les modalites de fonctionnement des centres culturels"
33,ORISANT L'APPROBATION D'UN ACCORD SOUS FORME D'ECHANGE DE LETTRES ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DU CANADA RELATIF A L'EMPLOI DES MEMBRES DES FAMILLES DES AGENTS DES MISSIONS OFFICIELLES DE CHAQUE ETAT DANS L'AUTRE
34,
35,risant la ratification d'un accord entre la Republique francaise et les Emirats arabes unis sur l'encouragement et la protection reciproques des investissements (ensemble un protocole interpretatif)
36,on d'un accord entre la Republique francaise et l'Etat du Koweit sur l'encouragement et la protection reciproques des investissements (ensemble un protocole interpretatif)
37," de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique democratique populaire Lao sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres), signe a Paris le 12 decembre 1989"
38,utorisant l'approbation d'un accord sous forme d'echange de lettres entre le Gouvernement de la Republique francaise et le Gouvernement de son Altesse Serenissime le Prince de Monaco relatif a la construction d'un tunnel destine a relier le reseau routier monegasque a la Route Nationale 7
39,
40, D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'ORGANISATION INTERNATIONALE DU CAFE RELATIF AU BUREAU DE CETTE ORGANISATION ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE DEUX ANNEXES)
41,"utorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Conseil federal suisse concernant l'exercice de la peche et la protection des milieux aquatiques dans la partie du Doubs formant frontiere entre les deux Etats (ensemble une annexe, un reglement d'application et une declaration)"
42,  ADOPTE PAR LE SENAT AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE CONSEIL FEDERAL SUISSE SUR L'ASSISTANCE MUTUELLE EN CAS DE CATASTROPHE OU D'ACCIDENT GRAVE
43,torisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federative tcheque et slovaque sur l'encouragement et la protection reciproques des investissements
44,"ORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'UNION INTERNATIONALE DES TELECOMMUNICATIONS CONCERNANT LA TENUE, L'ORGANISATION ET LE FINANCEMENT DE LA CONFERENCE DE PLENIPOTENTIAIRES DE L'UNION INTERNATIONALE DES TELECOMMUNICATIONS"
45, autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de l'Union des Republiques socialistes sovietiques relatif a la cooperation pour la formation des hommes dans le domaine economique
46,
47,risant l'adhesion a l'accord relatif a un programme international de l'energie (tel que amende au 19 mai 1980)
48,isant l'approbation de l'accord international de 1987 sur le caoutchouc naturel
49,risant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement du Grand-Duche de Luxembourg portant rectification de la frontiere franco-luxembourgeoise
50, autorisant la ratification de l'accord entre la Republique francaise et le Royaume d'Espagne en vue de la construction d'un tunnel routier au col du Somport
51,
52,i  AUTORISANT L'APPROBATION D'UN ACCORD INTERVENU AU SEIN DU CONSEIL DES COMMUNAUTES EUROPEENNES ENTRE LES REPRESENTANTS DES GOUVERNEMENTS DES ETATS MEMBRES RELATIF AU VERSEMENT A LA COMMUNAUTE D'AVANCES NON REMBOURSABLES POUR 1988
53,tendant a faire beneficier du revenu minimum d'insertion les personnes agees de moins de 25 ans
54,TENDANT A MODIFIER LES CONDITIONS D'ACQUISITION DE LA NATIONALITE FRANCAISE A RAISON DE LA NAISSANCE ET DE LA RESIDENCE EN FRANCE
55,RELATIVE A L'ACQUISITION DE LA NATIONALITE FRANCAISE ET AU RETOUR DANS LE PAYS D'ORIGINE
56,tendant a faciliter l'acquisition de la nationalite francaise par des residents etrangers de longue date
57,tendant a creer un droit a l'acquisition de leur logement par les locataires d'organismes publics
58,TENDANT A COMPLETER L'ARTICLE 175 DU CODE PENAL AFIN DE PERMETTRE AUX MAIRES ET ADJOINTS DES COMMUNES DE MOINS DE 2000 HABITANTS DE SE RENDRE ACQUEREURS D'UNE PARCELLE D'UN LOTISSEMENT COMMUNAL EN VUE DE FAIRE CONSTRUIRE LEUR HABITATION PERSONNELLE
59,
60,oposition de loi de M. Yves GUENA  tendant a permettre aux associations d'anciens combattants d'ester en justice
61,"tendant a permettre l'action populaire et celle des collectivites en cas de crime ou delit d'un elu, et a preciser la mission du ministere public"
62,TENDANT A REGLEMENTER LES CONDITIONS D'EXERCICE DE L'ACTIVITE DU TRAITEMENT DE L'IMPAYE
63,RELATIVE A L'ACTIVITE MINIMUM D'INSERTION
64,RELATIVE A L'EXERCICE DES ACTIVITES AMBULANTES ET AUX PERSONNES CIRCULANT EN FRANCE SANS DOMICILE NI RESIDENCE FIXE
65,relative aux structures d'activite de jour et d'accueil des handicapes
66,et plusieurs de ses collègues  visant a modifier les dispositions legales relatives aux activites sociales et culturelles des comites d'entreprise
67,et plusieurs de ses collègues  visant a modifier les dispositions legales relatives aux activites sociales et culturelles des comites d'entreprise
68,oi  modifiant la loi no 84-610 du 16 juillet 1984 relative a l'organisation et a la promotion des activites physiques et sportives
69,odifiant la loi no 84-610 du 16 juillet 1984 relative a l'organisation et a la promotion des activites physiques et sportives et portant diverses dispositions relatives a ces activites
70,riale de Mayotte
71,autorisant l'adhesion au traite sur la non proliferation des armes nucleaires
72,
73,"on de la convention relative a l'adhesion du Royaume d'Espagne et de la Republique portugaise a la convention concernant la competence judiciaire et l'execution des decisions en matiere civile et commerciale, ainsi qu'au protocole concernant son interpretation par la Cour de Justice, avec les adaptations y apportees par la convention relative a l'adhesion du Royaume du Danemark, de l'Irlande et du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord et les adaptations y apportees par  la convention relative"
74,"i  autorisant l'approbation de l'accord d'adhesion de la Republique italienne a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes, signee a Schengen le 19 juin 1990"
75,
76,et plusieurs de ses collègues  SUR L'ADHESION DES MEMBRES DES DIRECTIONS DES ENTREPRISES PUBLIQUES ET NATIONALISEES A DES ASSOCIATIONS PATRONALES PRIVEES
77,TIF A L'ADMINISTRATION DE LA NOUVELLE-CALEDONIE
78,relatif a l'integration des personnels de l'administration penitentiaire de la Nouvelle-Caledonie dans les corps des services exterieurs de l'administration penitentiaire de l'Etat
79, d'orientation relatif a l'administration territoriale de la Republique
80,et plusieurs de ses collègues  visant a completer l'article 15 de la loi d'orientation no 92-125 du 6 fevrier 1992 relative a l'administration territoriale de la Republique
81,
82,tendant a assurer la transparence de l'affectation des sommes recueillies par des associations qui sollicitent la generosite publique pour de grandes causes nationales ou internationales
83,RELATIVE A L'AFFICHAGE DE LA DECLARATION DES DROITS DE L'HOMME ET DU CITOYEN DE 1789 DANS LES SALLES DE CLASSE DES ETABLISSEMENTS SCOLAIRES ET UNIVERSITAIRES
84,"et plusieurs de ses collègues  tendant a garantir en toute periode, le caractere de libertes publiques fondamentales de l'affichage et de la diffusion d'opinion"
85,
86,RELATIVE A L'AGE DE LA RETRAITE DES AGENTS NON TITULAIRES DE L'ETAT
87,
88,et plusieurs de ses collègues  tendant a modifier la loi no 90-588 du 6 juillet 1990 relative a l'Agence pour l'enseignement francais a l'etranger
89, portant creation de l'Agence pour l'enseignement francais a l'etranger
90,tendant a creer une agence pour le recensement et l'indemnisation des porteurs de titres russes
91,relative aux redevances percues au profit des agences financieres de bassin
92,relative a l'instauration d'agences municipales de l'environnement
93,if aux rapports entre les agents commerciaux et leurs mandants
94,
95,RELATIVE AUX AGENTS DE SERVICE ET AUX OUVRIERS PROFESSIONNELS DES COLLEGES ET DES LYCEES
96,loi de M. Louis MERMAZ  et plusieurs de ses collègues  tendant a assujettir les carrieres aux dispositions de la loi no 76-663 du 19 juillet 1976 et a creer la commission departementale d'agrement des carrieres
97, modifiant diverses dispositions interessant l'agriculture et la foret
98,tendant a ameliorer l'aide a domicile en milieu rural tant pour le service apporte sous forme d'aide a domicile que celui apporte sous forme d'aide aux personnes agees
99,tendant a la creation d'un fonds destine a l'aide au financement de l'accession au logement locatif
100,tendant a faire beneficier de l'aide au logement les personnes agees hebergees dans les services de longs sejours
101,et plusieurs de ses collègues  relative a l'aide aux victimes d'accidents therapeutiques
102,
103,tendant a autoriser les collectivites locales a concourir aux depenses d'investissement des etablissements prives sous contrat
104,tendant a autoriser les collectivites locales a concourir aux depenses d'investissement des etablissements prives sous contrats
105,tendant a autoriser les collectivites locales a concourir aux depenses d'investissement des etablissements prives sous contrats
106,tendant a autoriser les collectivites locales a participer aux depenses d'investissement des etablissements d'enseignement prive sous contrat
107,tendant a autoriser les collectivites locales a concourir aux depenses d'investissements des etablissements prives sous contrat
108,TITUANT L'AIDE JUDICIAIRE DEVANT LES COURS ADMINISTRATIVES D'APPEL ET MODIFIANT LA LOI NO 72-11 DU 3 JANVIER 1972 RELATIVE A L'AIDE JUDICIAIRE ET A L'INDEMNISATION DES COMMISSIONS ET DESIGNATIONS D'OFFICE
109,oi  relatif a l'aide juridique
110,TENDANT A MODIFIER L'ARTICLE PREMIER DE LA LOI NO 86-11 DU 6 JANVIER 1986 RELATIVE A L'AIDE MEDICALE URGENTE ET AUX TRANSPORTS SANITAIRES
111,tendant a completer l'article 168 du code de la famille et de l'aide sociale relatif a l'aide sociale aux personnes handicapees
112,TENDANT A FACILITER L'ACCES DES PUBLICATIONS ASSOCIATIVES AU REGIME DES AIDES ACCORDEES A LA PRESSE
113,TENDANT A FACILITER L'ACCES DES PUBLICATIONS ASSOCIATIVES AU REGIME DES AIDES ACCORDEES A LA PRESSE
114,RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES
115,RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES
116,RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES
117,oposition de loi de M. Jacques BRUNHES  et plusieurs de ses collègues  RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES
118,oposition de loi de M. Pierre-André WILTZER  et plusieurs de ses collègues  RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES
119,et plusieurs de ses collègues  RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES
120,et plusieurs de ses collègues  TENDANT A ALLEGER LES CHARGES SOCIALES DES CLUBS SPORTIFS SUR LES INDEMNITES DE DEDOMMAGEMENT VERSEES AUX DIRIGEANTS BENEVOLES
121,tendant a porter le montant de l'allocation aux adultes handicapes a 80 % du salaire minimum de croissance
122,tendant a assurer le maintien integral de l'allocation aux handicapes adultes en cas de mariage
123,TENDANT A RETABLIR L'ALLOCATION DE FRANCHISE SUPPRIMEE PAR LES ORDONNANCES NO 60-907 DU 30 AOUT 1960 ET NO 60-1253 A 1256 DU 29 NOVEMBRE 1960
124,tendant a modifier l'article 13 de la loi no 71-582 du 16 juillet 1971 relative a l'allocation de logement en ce qui concerne les modalites de reglement de cette allocation
125,"tendant a etendre le benefice de l'allocation de logement a caractere social, sans autre critere d'attribution que le montant des ressources et le montant du loyer, a l'ensemble du territoire national"
126,tendant a instituer une allocation de soutien familial differentielle
127,et plusieurs de ses collègues  relative aux conditions d'attribution de l'allocation logement social pour les personnes agees hebergees en service de long sejour
128,tendant a creer une allocation parentale d'education pour enfant handicape
129,oposition de loi de M. Lucien NEUWIRTH  et plusieurs de ses collègues  visant a la creation d'une allocation pour les situations de dependance resultant d'un etat de senescence
130,tendant a modifier les conditions d'attribution de l'allocation-logement aux personnes agees hebergees en centres de long sejour
131,
132,
133,
134,et plusieurs de ses collègues  tendant a allonger la seconde session ordinaire du Parlement
135,"endant a la creation d'un statut specifique au profit des Alsaciens-Mosellans incorpores de force dans les organisations du""Reichsarbeitsdienst""et du""Kriegshilfsdienst"""
136, de loi de M. Louis MERMAZ  et plusieurs de ses collègues  TENDANT A AMELIORER LES RAPPORTS LOCATIFS ET PORTANT MODIFICATION DE LA LOI NO 86-1290 DU 23 DECEMBRE 1986
137,et plusieurs de ses collègues  tendant a ameliorer la procedure legislative
138,sur l'amenagement de la Loire
139,et plusieurs de ses collègues  tendant a assurer l'amenagement et la rehabilitation de l'etang de Berre
140,tendant a assurer l'amenagement et la rehabilitation de l'etang de Berre
141,RELATIVE A L'AMENAGEMENT DU REGIME QUIRATAIRE
142,tendant a amenager plusieurs dispositions du code electoral
143, des amendements a la convention du 3 septembre 1976 portant creation de l'Organisation internationale de telecommunications maritimes par satellites (inmarsat) et des amendements a l'accord d'exploitation du 3 septembre 1976 relatif a l'Organisation internationale de telecommunications maritimes par satellite (Inmarsat)
144, des amendements a la convention du 3 septembre 1976 portant creation de l'Organisation internationale de telecommunications maritimes par satellites (Inmarsat) et des amendements a l'accord d'exploitation du 3 septembre 1976 relatif a l'Organisation internationale de telecommunications maritimes par satellites (Inmarsat)
145,"torisant l'approbation d'amendements a la convention du 2 fevrier 1971 relative aux zones humides d'importance internationale, particulierement comme habitats des oiseaux, adoptes par la conference extraordinaire reunie a Regina, Canada, le 28 mai 1987"
146,ojet de loi  PORTANT AMNISTIE
147,portant amnistie d'infractions commises a l'occasion d'evenements survenus en Nouvelle-Caledonie
148,portant amnistie a la suite des evenements de La Reunion de fevrier et mars 1991
149,
150,et plusieurs de ses collègues  RELATIVE A L'AMNISTIE DANS LES DEPARTEMENTS ET TERRITOIRES D'OUTRE-MER
151,et plusieurs de ses collègues  relative a l'amnistie des sanctions disciplinaires et professionnelles prises a l'encontre des travailleurs a l'occasion d'un conflit collectif du travail
152,RELATIVE A L'AMNISTIE DES SANCTIONS DISCIPLINAIRES ET PROFESSIONNELLES PRISES A L'ENCONTRE DES TRAVAILLEURS A L'OCCASION D'UN CONFLIT COLLECTIF DU TRAVAIL
153,
154,PORTANT AMNISTIE
155,"TENDANT A LA RECONNAISSANCE DE LA PATHOLOGIE PROPRE AUX ANCIENS COMBATTANTS D'ALGERIE, DE TUNISIE ET DU MAROC"
156,"et plusieurs de ses collègues  TENDANT A LA RECONNAISSANCE DE LA PATHOLOGIE PROPRE AUX ANCIENS COMBATTANTS D'ALGERIE, DE TUNISIE ET DU MAROC"
157,et plusieurs de ses collègues  tendant a prendre en compte la duree du sejour en Afrique-du-Nord de 1952 a 1962 des anciens combattants pour une retraite anticipee
158,"tendant a accorder aux anciens combattants d'Afrique-du-Nord, dans des situations socialement difficiles, le benefice de la retraite anticipee et aux anciens militaires d'Afrique-du-Nord le benefice de la campagne double"
159,TENDANT A HONORER LES ANCIENS COMBATTANTS DE LA GRANDE GUERRE
160,"tendant a instituer une promotion speciale dans l'Ordre de la Legion d'Honneur, dans l'Ordre national du Merite et un contingent special de medailles militaires pour les anciens de la France libre"
161,"et plusieurs de ses collègues  tendant a reconnaitre officiellement le caractere de journee nationale du souvenir et du recueillement a la journee du 19 mars, date anniversaire du cessez-le-feu survenu en Algerie en 1962"
162,TENDANT A METTRE DES APPELES DU CONTINGENT A LA DISPOSITION DES CORPS DE SAPEURS-POMPIERS COMMUNAUX ET DEPARTEMENTAUX
163,"ELATIVE A L'APPELLATION D'ORIGINE CONTROLEE""OLIVES DE NYONS""OU""OLIVES NOIRES DE NYONS""ET""HUILE D'OLIVES DE NYONS"""
164,latif aux appellations d'origine controlee des produits agricoles et alimentaires bruts ou transformes
165,RELATIVE A L'APPLICATION DES LOIS DANS LES TERRITOIRES D'OUTRE-MER
166,"oposition de loi de M. Marcel RUDLOFF  et plusieurs de ses collègues  portant diverses mesures d'harmonisation entre le droit applicable dans les departements du Bas-Rhin, du Haut-Rhin et de la Moselle et le droit applicable dans les autres departements"
167,orisant l'approbation de la convention entre les Etats membres des Communautes europeennes relative a l'application du principe ne bis in idem
168, portant diverses dispositions relatives a l'apprentissage et a la formation professionnelle et modifiant le code du travail
169,
170,et plusieurs de ses collègues  tendant a creer une possibilite de recours a l'egard des decisions des architectes des batiments de France
171,TENDANT A MODIFIER L'ARTICLE L. 49 DU CODE DES DEBITS DE BOISSONS ET DES MESURES DE LUTTE CONTRE L'ALCOOLISME
172,
173,
174,TENDANT A COMPLETER L'ARTICLE 55 DE LA CONSTITUTION
175,"endant a modifier les articles 39 et 93 du code general des impots afin de permettre la deductibilite fiscale des primes afferentes aux contrats d'assurance couvrant les pertes d'exploitation dues a l'absence d'un""homme-cle""dans une petite et moyenne entreprise ou une petite et moyenne industrie"""
176,
177,TENDANT A HOMOLOGUER DES DELIBERATIONS DE L'ASSEMBLEE TERRITORIALE DE POLYNESIE FRANCAISE
178,et plusieurs de ses collègues  tendant a garantir la stabilite du regime electoral des assemblees parlementaires et des assemblees des collectivites territoriales
179,TENDANT A MODIFIER L'ASSIETTE DE L'IMPOT SUR LE REVENU
180,"utorisant l'approbation du protocole entre le Gouvernement de la Republique francaise et le Gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord relatif aux controles frontaliers et a la police, a la cooperation judiciaire en matiere penale, a la securite civile et a l'assistance mutuelle concernant la liaison fixe trans-Manche"
181,"i  relatif aux assistantes maternelles et modifiant le code de la famille et de l'aide sociale, le code de la sante publique et le code du travail"
182,TENDANT A PERMETTRE AUX ASSOCIATIONS AGREEES D'ALSACE-LORRAINE DE BENEFICIER DE TOUS LES AVANTAGES DES ASSOCIATIONS RECONNUES D'UTILITE PUBLIQUE
183,oi de M. Pierre PASQUINI  tendant a completer le code de procedure penale pour permettre aux associations ayant vocation a lutter contre la fraude electorale d'exercer les droits reconnus a la partie civile
184,"et plusieurs de ses collègues  RELATIVE AUX DESTRUCTIONS, DEGRADATIONS ET DOMMAGES COMMIS AU PREJUDICE D'UNE ASSOCIATION CULTUELLE"
185,tendant a habiliter les associations constituees pour la defense des interets du Quart-Monde a exercer l'action civile
186,tendant a habiliter les associations constituees pour la defense des interets du Quart-Monde a exercer l'action civile
187,tendant a habiliter les associations constituees pour la defense des interets du Quart-Monde a exercer l'action civile
188,tendant a moderniser le droit local d'Alsace-Lorraine applicable aux associations
189,"TENDANT A EXONERER LES ASSOCIATIONS D'AIDE A DOMICILE, LES ETABLISSEMENTS HOSPITALIERS ET LES CAISSES DES ECOLES DE LA TAXE SUR LES SALAIRES"
190,tendant a habiliter les associations solidaires des personnes en situation de grande pauvrete a exercer l'action civile
191,"tendant a valider comme periode d'assurance, celle ou des personnes sous les drapeaux, qui ont contracte une maladie les rendant inaptes a l'exercice de leur emploi precedent, ont du, avant 1968, recourir a des stages professionnels de reclassement"
192,"et plusieurs de ses collègues  tendant a valider comme periode d'assurance celle ou des personnes sous les drapeaux qui ont contracte une maladie les rendant inaptes a l'exercice de leur emploi precedent ont du, avant 1968, recourir a des stages professionnels de reclassement"
193,relative a l'affiliation a l'assurance maladie des etudiants handicapes
194,oposition de loi de M. Marcel RUDLOFF  tendant a abroger l'article 9 de la loi no 90-1260 du 31 decembre 1990 afin de retablir les droits acquis des travailleurs non salaries non agricoles en matiere d'assurance-maladie
195,RELATIVE A L'ASSURANCE MALADIE ET MATERNITE DES MERES DE FAMILLE VEUVES OU DIVORCEES
196,"et plusieurs de ses collègues  sur l'assurance obligatoire, visant a prevoir le paiement des indemnites de preavis et des indemnites de licenciement dont peuvent beneficier les salaries en cas de destruction de l'entreprise par un incendie du a une cause accidentelle constituant cas de force majeure"
197,
198,tendant a modifier l'article L. 113-1 et a supprimer l'article L. 132-7 du code des assurances en ce qui concerne les risques garantis par l'assurance vie en cas de deces par suicide
199,tendant a abroger l'article 34 de la loi no 91-1406 du 31 decembre 1991 relatif aux assurances sociales agricoles
200,relatif aux atteintes a la securite de la navigation maritime et des plates-formes fixes situees sur le plateau continental
201,tendant a attribuer aux communes les immeubles vacants et sans maitre
202,TENDANT A ATTRIBUER AUX COMMUNES LES BIENS VACANTS ET SANS MAITRE AYANT UN CARACTERE D'IMMEUBLE
203,
204,tendant a reserver dans certaines communes l'attribution de logements sociaux aux mal loges de la ville
205,TENDANT A ATTRIBUER UNE CARTE D'INSERTION AUX PERSONNES CONNAISSANT DES DIFFICULTES PARTICULIERES POUR TROUVER UN EMPLOI
206, de résolution de M. Laurent FABIUS  TENDANT A MODIFIER L'ARTICLE 46 DU REGLEMENT DE L'ASSEMBLEE NATIONALE AFIN DE PERMETTRE LA PUBLICITE DE CERTAINES AUDITIONS DES COMMISSIONS
207,TENDANT A COMBATTRE L'ALCOOLISME AU VOLANT PAR L'AUGMENTATION DES PRIMES D'ASSURANCE
208,tendant a moderer les augmentations de loyers lors des renouvellements de baux commerciaux
209,et plusieurs de ses collègues  tendant a porter le salaire minimum de croissance a 6500 francs
210,tendant a lutter contre les auteurs de graffitis
211,RELATIVE A LA SITUATION DES AUTO-ECOLES AU REGARD DU CHAMP D'APPLICATION DE LA TAXE SUR LA VALEUR AJOUTEE
