,Title,Name,content,
60,action en justice des associations d'anciens combattants,"Yves GUENA, Lucien Neuwirth, Pierre-Jean Daviaud",oposition de loi de M. Yves GUENA  tendant a permettre aux associations d'anciens combattants d'ester en justice,
61,action populaire en cas de crime ou delit d'un elu,Philippe DE VILLIERS,"tendant a permettre l'action populaire et celle des collectivites en cas de crime ou delit d'un elu, et a preciser la mission du ministere public",
62,ACTIVITE DU TRAITEMENT DE L'IMPAYE,Jean-Pierre PHILIBERT,TENDANT A REGLEMENTER LES CONDITIONS D'EXERCICE DE L'ACTIVITE DU TRAITEMENT DE L'IMPAYE,
63,ACTIVITE MINIMUM D'INSERTION,Roselyne BACHELOT-NARQUIN,RELATIVE A L'ACTIVITE MINIMUM D'INSERTION,
64,ACTIVITES AMBULANTES,Daniel LE MEUR,RELATIVE A L'EXERCICE DES ACTIVITES AMBULANTES ET AUX PERSONNES CIRCULANT EN FRANCE SANS DOMICILE NI RESIDENCE FIXE,
65,activites de jour et accueil des handicapes,Léonce DEPREZ,relative aux structures d'activite de jour et d'accueil des handicapes,
66,activites des comites d'entreprise,Marc LAURIOL,et plusieurs de ses collègues  visant a modifier les dispositions legales relatives aux activites sociales et culturelles des comites d'entreprise,
67,activites des comites d'entreprises,Marc LAURIOL,et plusieurs de ses collègues  visant a modifier les dispositions legales relatives aux activites sociales et culturelles des comites d'entreprise,
68,activites physiques et sportives,Alain Néri,oi  modifiant la loi no 84-610 du 16 juillet 1984 relative a l'organisation et a la promotion des activites physiques et sportives,
69,activites sportives,"Thierry Mandon, François Lesein",odifiant la loi no 84-610 du 16 juillet 1984 relative a l'organisation et a la promotion des activites physiques et sportives et portant diverses dispositions relatives a ces activites,
70,adaptation de la legislation a Mayotte,,riale de Mayotte,
71,adhesion au traite sur la non proliferation des armes nucleaires,Michel Crépeau,autorisant l'adhesion au traite sur la non proliferation des armes nucleaires,
72,adhesion de l'Espagne aux accords de Schengen,,"Projet de loi autorisant l'approbation de l'accord d'adhesion du Royaume d'Espagne a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les Gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes signee a Schengen le 19 juin 1990",
73,adhesion de l'Espagne et du Portugal a une convention judiciaire,Michel Crucis,"on de la convention relative a l'adhesion du Royaume d'Espagne et de la Republique portugaise a la convention concernant la competence judiciaire et l'execution des decisions en matiere civile et commerciale, ainsi qu'au protocole concernant son interpretation par la Cour de Justice, avec les adaptations y apportees par la convention relative a l'adhesion du Royaume du Danemark, de l'Irlande et du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord et les adaptations y apportees par  la convention relative",
74,adhesion de l'Italie a l'accord de Schengen,,"i  autorisant l'approbation de l'accord d'adhesion de la Republique italienne a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes, signee a Schengen le 19 juin 1990",
75,adhesion du Portugal aux accords de Schengen,,"Projet de loi autorisant l'approbation de l'accord d'adhesion de la Republique portugaise a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les Gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes signee a Schengen le 19 juin 1990, a laquelle a adhere la Republique italienne par l'accord signe",
76,ADHESIONS AUX ASSOCIATIONS PATRONALES PRIVEES,Robert PAGÈS,et plusieurs de ses collègues  SUR L'ADHESION DES MEMBRES DES DIRECTIONS DES ENTREPRISES PUBLIQUES ET NATIONALISEES A DES ASSOCIATIONS PATRONALES PRIVEES,
77,ADMINISTRATION DE LA NOUVELLE-CALEDONIE,"Raymond Forni, Jean-Marie Girault",TIF A L'ADMINISTRATION DE LA NOUVELLE-CALEDONIE,
78,administration penitentiaire en Nouvelle-Caledonie,"François Colcombet, Germain Authié",relatif a l'integration des personnels de l'administration penitentiaire de la Nouvelle-Caledonie dans les corps des services exterieurs de l'administration penitentiaire de l'Etat,
79,administration territoriale de la Republique,"Christian Pierret, Paul Graziani", d'orientation relatif a l'administration territoriale de la Republique,
80,administration territoriale de la Republique,Alain PLUCHET,et plusieurs de ses collègues  visant a completer l'article 15 de la loi d'orientation no 92-125 du 6 fevrier 1992 relative a l'administration territoriale de la Republique,
81,administration territoriale de la Republique,,Proposition de loi de M. Jean-Éric BOUSCH relative a l'administration territoriale de la Republique et a la cooperation transfrontaliere des collectivites ou autorites territoriale,
82,affectation des sommes recueillies par des associations,Adrien ZELLER,tendant a assurer la transparence de l'affectation des sommes recueillies par des associations qui sollicitent la generosite publique pour de grandes causes nationales ou internationales,
83,AFFICHAGE DE LA DECLARATION DES DROITS DE L'HOMME,Denis JACQUAT,RELATIVE A L'AFFICHAGE DE LA DECLARATION DES DROITS DE L'HOMME ET DU CITOYEN DE 1789 DANS LES SALLES DE CLASSE DES ETABLISSEMENTS SCOLAIRES ET UNIVERSITAIRES,
84,affichage et diffusion d'opinion,Hélène LUC,"et plusieurs de ses collègues  tendant a garantir en toute periode, le caractere de libertes publiques fondamentales de l'affichage et de la diffusion d'opinion",
85,AFFIDATION,Etienne DAILLY,"renvoyée à la commission des lois constitutionnelles, de législation, du suffrage universel, du règlement et d'administration générale",
86,AGE DE LA RETRAITE DES AGENTS NON TITULAIRES DE L'ETAT,Étienne PINTE,RELATIVE A L'AGE DE LA RETRAITE DES AGENTS NON TITULAIRES DE L'ETAT,
87,AGENCE DES PERSONNELS NON TITULAIRES,Roger HUSSON,TENDANT A LA CREATION D'UNE AGENCE INTERMINISTERIELLE AUX PERSONNELS NON TITULAIRES,
88,Agence pour l'enseignement francais a l'etranger,Jean-Pierre BAYLE,et plusieurs de ses collègues  tendant a modifier la loi no 90-588 du 6 juillet 1990 relative a l'Agence pour l'enseignement francais a l'etranger,
89,Agence pour l'enseignement francais a l'etranger,"Jeanny Lorgeoux, Paul d'Ornano", portant creation de l'Agence pour l'enseignement francais a l'etranger,
90,agence pour les porteurs de titres russes,Éric RAOULT,tendant a creer une agence pour le recensement et l'indemnisation des porteurs de titres russes,
91,agences financieres de bassin,Yves TAVERNIER,relative aux redevances percues au profit des agences financieres de bassin,
92,agences municipales de l'environnement,Jacques FARRAN,relative a l'instauration d'agences municipales de l'environnement,
93,agents commerciaux et lmandants,"Jean Huchon, Jean-Pierre Bouquet",if aux rapports entre les agents commerciaux et leurs mandants,
94,AGENTS CONTRACTUELS DE LA FONCTION PUBLIQUE,Roger HUSSON,TENDANT A ETENDRE LE CODE DU TRAVAIL AUX AGENTS CONTRACTUELS DE LA FONCTION PUBLIQUE,
95,AGENTS DES COLLEGES ET DES LYCEES,Bruno BOURG-BROC,RELATIVE AUX AGENTS DE SERVICE ET AUX OUVRIERS PROFESSIONNELS DES COLLEGES ET DES LYCEES,
96,agrement des carrieres,"Louis MERMAZ, Gérard Saumade, Philippe François",loi de M. Louis MERMAZ  et plusieurs de ses collègues  tendant a assujettir les carrieres aux dispositions de la loi no 76-663 du 19 juillet 1976 et a creer la commission departementale d'agrement des carrieres,
97,agriculture et  foret,"Jacqueline Alquier, Marcel Daunay", modifiant diverses dispositions interessant l'agriculture et la foret,
98,aide a domicile en milieu rural,François D'HARCOURT,tendant a ameliorer l'aide a domicile en milieu rural tant pour le service apporte sous forme d'aide a domicile que celui apporte sous forme d'aide aux personnes agees,
99,aide a l'accession au logement locatif,François D'HARCOURT,tendant a la creation d'un fonds destine a l'aide au financement de l'accession au logement locatif,
100,aide au logement aux personnes agees,Louis MERMAZ,tendant a faire beneficier de l'aide au logement les personnes agees hebergees dans les services de longs sejours,
101,aide aux victimes d'accidents therapeutiques,François LESEIN,et plusieurs de ses collègues  relative a l'aide aux victimes d'accidents therapeutiques,
102,aide de l'Etat a la Polynesie francaise,,"Projet de loi Projet de loi d'orientation pour le developpement economique, social et culturel de la Polynesie francaise ú",
103,aide des collectivites locales aux etablissements prives,Pierre LEQUILLER,tendant a autoriser les collectivites locales a concourir aux depenses d'investissement des etablissements prives sous contrat,
104,aide des collectivites locales aux etablissements prives,Pierre LEQUILLER,tendant a autoriser les collectivites locales a concourir aux depenses d'investissement des etablissements prives sous contrats,
105,aide des collectivites locales aux etablissements prives,Pierre LEQUILLER,tendant a autoriser les collectivites locales a concourir aux depenses d'investissement des etablissements prives sous contrats,
106,aide des collectivites locales aux etablissements prives,Jean-Luc PRÉEL,tendant a autoriser les collectivites locales a participer aux depenses d'investissement des etablissements d'enseignement prive sous contrat,
107,aide des collectivites locales aux etablissements prives,Alain LAMASSOURE,tendant a autoriser les collectivites locales a concourir aux depenses d'investissements des etablissements prives sous contrat,
108,AIDE JUDICIAIRE DEVANT LES COURS ADMINISTRATIVES D'APPEL,"Daniel Hoeffel, Patrick Devedjian",TITUANT L'AIDE JUDICIAIRE DEVANT LES COURS ADMINISTRATIVES D'APPEL ET MODIFIANT LA LOI NO 72-11 DU 3 JANVIER 1972 RELATIVE A L'AIDE JUDICIAIRE ET A L'INDEMNISATION DES COMMISSIONS ET DESIGNATIONS D'OFFICE,
109,aide juridique,"François Colcombet, Luc Dejoie",oi  relatif a l'aide juridique,
110,AIDE MEDICALE URGENTE,Pierre-Rémy HOUSSIN,TENDANT A MODIFIER L'ARTICLE PREMIER DE LA LOI NO 86-11 DU 6 JANVIER 1986 RELATIVE A L'AIDE MEDICALE URGENTE ET AUX TRANSPORTS SANITAIRES,
111,aide sociale aux handicapes,Jacques TOUBON,tendant a completer l'article 168 du code de la famille et de l'aide sociale relatif a l'aide sociale aux personnes handicapees,
112,AIDES A LA PRESSE ASSOCIATIVE,Jean-Paul FUCHS,TENDANT A FACILITER L'ACCES DES PUBLICATIONS ASSOCIATIVES AU REGIME DES AIDES ACCORDEES A LA PRESSE,
113,AIDES AUX PUBLICATIONS ASSOCIATIVES,Gérard VIGNOBLE,TENDANT A FACILITER L'ACCES DES PUBLICATIONS ASSOCIATIVES AU REGIME DES AIDES ACCORDEES A LA PRESSE,
114,A.I.P.L.F.,Hector VIRON,RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES,
115,AIPLF,Xavier DE VILLEPIN,RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES,
116,AIPLF,Claude ESTIER,RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES,
117,AIPLF,Jacques BRUNHES,oposition de loi de M. Jacques BRUNHES  et plusieurs de ses collègues  RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES,
118,AIPLF,Pierre-André WILTZER,oposition de loi de M. Pierre-André WILTZER  et plusieurs de ses collègues  RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES,
119,AIPLF,"Louis MERMAZ, André Delehedde, Michel Alloncle",et plusieurs de ses collègues  RELATIVE A LA RECONNAISSANCE DE LA VOCATION INTERNATIONALE DE L'ASSOCIATION INTERNATIONALE DES PARLEMENTAIRES DE LANGUE FRANCAISE (A.I.P.L.F.) ET A SES PRIVILEGES ET IMMUNITES,
120,ALLEGEANT LES CHARGES SOCIALES DES CLUBS SPORTIFS,Hélène LUC,et plusieurs de ses collègues  TENDANT A ALLEGER LES CHARGES SOCIALES DES CLUBS SPORTIFS SUR LES INDEMNITES DE DEDOMMAGEMENT VERSEES AUX DIRIGEANTS BENEVOLES,
121,allocation aux adultes handicapes,Paul LOMBARD,tendant a porter le montant de l'allocation aux adultes handicapes a 80 % du salaire minimum de croissance,
