,index,nom_depute,ministere_interrogem,date_publication,question
10,11,M. Olivier Marleix,Action et comptes publics,05/12/2017,"M. Olivier Marleix interroge M. le ministre de l'action et des comptes publics sur l'obligation faite à compter du 1er janvier 2018 pour toute personne assujettie à la TVA d'utiliser un système de caisse ayant reçu une certification dans le but de lutter contre la fraude. Cette obligation, décidée dans le cadre du projet de loi de finances pour 2016, a été légèrement assouplie lors du projet de loi de finances pour 2018. Ainsi, les logiciels comptables ne sont plus concernés par cette obligation ; de même les personnes relevant du régime de franchise en base de TVA du régime général en sont soustraites. Cette réduction du champ d'application de la loi intervenant, malgré des alertes répétées de députés, seulement quelques semaines avant son entrée en vigueur, certains commerçants ont déjà réalisé des investissements importants et désormais inutiles. Aussi, il l'interroge sur ce qu'il compte faire pour ces personnes. De même, il lui demande s'il entend tenir compte du coût excessif de cette nouvelle obligation pour les très petites entreprises, par exemple pour les exploitants agricoles qui exercent une activité connexe de vente de produits à la ferme."
11,12,M. Guillaume Larrivé,Solidarités et santé,05/12/2017,"M. Guillaume Larrivé alerte Mme la ministre des solidarités et de la santé sur la pérennité du système des urgences dans le département de l'Yonne et lui demande de répondre à la lettre (cosignée par tous les parlementaires de l'Yonne, le président du conseil départemental, le président du SDIS, les maires d'Auxerre et de Sens) qu'il lui a adressée le 13 octobre 2017. Il souhaite que la ministre s'engage à maintenir au sein du centre hospitalier d'Auxerre (CHA) le centre de régulation du « 15 » et l'hélicoptère indispensables à la pérennité d'un système d'urgences de proximité et de qualité dans le vaste département rural qu'est l'Yonne. Tous les élus de l'Yonne, au nom de la population, s'opposent à une évolution qui, au prétexte de régionaliser, consisterait en réalité à déposséder Auxerre et le département de l'Yonne des leviers indispensables à un système de soins de qualité : ce qui implique le maintien du « 15 » et de l'hélicoptère au CHA d'Auxerre. Un point d'évolution, néanmoins, semble pouvoir être étudié avec attention : l'éventuelle mutualisation du « 15 » et du « 18 » peut faire l'objet d'une réflexion conjointe, de la part du CHA et du SDIS, si cela aboutit à conforter le CHA en installant, en son sein, une plateforme de régulation commune. Il lui demande quelle est la position du Gouvernement sur cette question."
12,13,Mme Constance Le Grip,Intérieur,05/12/2017,"Mme Constance Le Grip appelle l'attention de M. le ministre d'État, ministre de l'intérieur, sur l'avenir des collectivités territoriales d'Île-de-France et notamment de la métropole du Grand Paris. Alors que le Président de la République devait tenir une conférence territoriale du Grand Paris en octobre 2017, celle-ci ne cesse d'être repoussée, soulevant les interrogations et les inquiétudes des élus, des acteurs économiques et des habitants. Le souci d'efficacité, de lisibilité, de proximité, tant vis-à-vis des habitants que des investisseurs nationaux et étrangers, devrait pousser à une réforme cherchant la simplification et la clarification des compétences respectives des différents acteurs. À cet égard, on peut questionner l'intérêt et la pertinence de nouveaux échelons territoriaux qui n'ont pas vraiment fait la preuve de leur utilité. Par ailleurs, les départements de « la petite couronne » sont plongés dans l'incertitude quant au maintien de leur existence, sachant que les compétences qu'ils exercent pour le moment, et tout particulièrement les compétences d'action sociale dont ils sont les chefs de file depuis la loi MAPTAM du 27 janvier 2014, sont essentielles. Elle souhaite donc savoir si le Gouvernement peut faire connaître à la représentation nationale les grandes lignes du dessein qu'il envisage pour la région-capitale."
13,14,M. Sylvain Waserman,Affaires européennes,05/12/2017,"M. Sylvain Waserman interroge Mme la ministre, auprès du ministre de l'Europe et des affaires étrangères, chargée des affaires européennes, sur les enjeux européens débattus à Strasbourg. Lors des rendez-vous européens de Strasbourg, qui ont eu lieu du 21 au 26 novembre 2017, la question de la relance du projet européen et de ce qu'il signifie concrètement dans la vie des citoyens a été largement débattue. Il souhaiterait l'interroger sur deux sujets, en particulier, qui ont été évoqués lors de ce débat. Le premier concerne l'attachement de Strasbourg au siège du Parlement européen, parce que Strasbourg est la ville d'Europe, et peut-être du monde, qui incarne le mieux la représentation et la défense des citoyens, au travers du Parlement européen bien sûr, mais aussi de l'Eurocorps, du Conseil de l'Europe et de la Cour européenne des droits de l'Homme. Il sait l'attachement du Président de la République à la reconstruction d'un projet européen volontariste et novateur. Il lui demande de confirmer son indéfectible soutien et celui de l'ensemble du Gouvernement au maintien du siège du Parlement européen à Strasbourg. Seconde question : lors de ces débats a été souligné le fait que le préambule de la Constitution française fait référence à l'attachement des Français à la République, aux droits de l'Homme et à la charte des droits et des devoirs de l'environnement mais pas à celui du projet européen (l'Europe n'apparait qu'à partir de l'article 88-1). Il lui demande s'il n'est pas temps, comme l'a proposé le député Christophe Euzet dans sa contribution au groupe de travail sur la nouvelle Assemblée, de mentionner cet attachement au projet européen par une référence explicite dans le préambule de la Constitution. Les questions sans débat concernent des sujets d'ordre local mais, à Strasbourg, les questions européennes sont toujours des sujets d'intérêt local."
14,15,Mme Élodie Jacquier-Laforge,Intérieur,05/12/2017,"Mme Élodie Jacquier-Laforge interroge M. le ministre d'État, ministre de l'intérieur, sur les difficultés rencontrées par la ville de Saint-Cassien-en-Isère, suite aux occupations répétées de plusieurs terrains municipaux par des personnes de la communauté des gens du voyage. Elle connaît plusieurs installations non autorisées, chaque année, de 60 à 80 caravanes. Au-delà de ces occupations illicites, cela engendre de nombreuses dépenses à la charge de la commune : eau utilisée via des raccordements aux bornes incendie, branchements sur les transformateurs électriques qui peuvent être particulièrement dangereux. La mairie fournit des containers pour les déchets et les terrains doivent être remis en état après les départs, toujours à la charge de la commune et de ses contribuables. En l'absence de la mise en place d'un schéma départemental d'accueil pour les gens du voyage, le maire n'a aucun recours, quand bien même, la non mise en place de ce plan est indépendante de sa volonté. Elle lui demande ce qui pourrait concrètement être fait pour mettre fin à cette situation."
15,16,M. Brahim Hammouche,Économie et finances,05/12/2017,"M. Brahim Hammouche appelle l'attention de M. le ministre de l'économie et des finances sur le régime minier, auquel sont affiliées 160 000 personnes. En vigueur depuis 1946, il propose une assurance maladie avec une prise en charge à 100 % et une offre de soins dans des hôpitaux et centres de santé. Il bénéficie de la solidarité des autres régimes témoignant ainsi de la reconnaissance de la Nation envers les mineurs impliqués dans la reconstruction du pays pendant l'après-guerre, de la pénibilité de ce métier qui se manifeste par une plus faible espérance de vie des mineurs et des pathologiques spécifiques (comme la silicose). Cette population vulnérable, âgée en moyenne de 80 ans, s'inquiète de la fin de la convention d'objectif et de gestion 2014-2017 et de la perspective d'un assujettissement au régime général qui pourrait affecter la pérennité de leurs droits. En effet l'accès aux soins, en théorie gratuit, devient de plus en plus incertain en réalité, du fait d'une désertification médicale importante dans le secteur lorrain et de médecins généralistes saturés dans l'incapacité de prendre le relais des médecins de la mine. Le droit à l'exonération des franchises médicales et la gratuité des transports sont eux aussi en pratique remis en question puisque les médecins et les hôpitaux restreignent leur prescription de véhicule sanitaire léger (VSL). Le transfert au régime général pourrait entraîner la disparition de l'allocation de conjoint à charge, complément important de 285 euros, ou le paiement des indemnités de chauffage-logement, ou encore l'allocation décès évaluée à 2 600 euros. Enfin, si cette population pourrait bénéficier de la fin de la taxe foncière, elle subirait la hausse de la CSG de 1,7 % pour une partie. Tous les gouvernements successifs se sont engagés à pérenniser les droits des mineurs jusqu'au dernier vivant avec dans les faits plus ou moins de réussite. Il lui demande quels sont les engagements du Gouvernement pour maintenir de manière effective tous les droits des affiliés. Il souhaite connaître l'estimation du nombre de retraités mineurs concernés par la hausse de la CSG. Enfin, il lui demande quelle compensation est envisagée pour ces derniers."
16,17,M. Jean-Louis Bricout,Éducation nationale,05/12/2017,"M. Jean-Louis Bricout attire l'attention de M. le ministre de l'éducation nationale sur la possibilité d'introduire dans les programmes scolaires l'apprentissage du code de la route et le passage de l'examen dans le cadre des programmes officiels de l'éducation nationale. Le permis de conduire est un élément essentiel de l'insertion sociale et professionnelle, en particulier pour les jeunes. Pour beaucoup d'entre eux, le permis de conduire constitue en effet un passeport indispensable pour l'emploi. Par ailleurs et dans le même esprit, pour les territoires ruraux l'impact d'une telle mesure n'est pas neutre pour débloquer l'accès à l'emploi. En effet, compte tenu des distances et de l'isolement de certains villages très éloignés de la ville bourg centre (où se trouvent en général les opportunités d'emplois), le fait de pouvoir se déplacer en voiture apparaît fondamental. La loi n° 2015-990 du 6 août 2015 pour la croissance, l'activité et l'égalité des chances économiques a introduit la possibilité pour des intervenants extérieurs d'intervenir dans les établissements pour l'examen du code de la route, il n'y a pas de caractère obligatoire. Il s'agirait pourtant d'une mesure intéressante afin de garantir l'égalité de tous les jeunes. Enfin, l'intérêt pédagogique du point de vue de la sensibilisation à la sécurité routière et à la responsabilisation n'est pas neutre. Aussi, il lui demande de bien vouloir lui indiquer sa position quant à l'opportunité d'intégrer le passage du code de la route dans les programmes et le passage de l'examen dans le cadre scolaire."
17,18,M. Hervé Saulignac,Agriculture et alimentation,05/12/2017,"M. Hervé Saulignac alerte M. le ministre de l'agriculture et de l'alimentation sur l'état de sécheresse historique qui frappe le département de l'Ardèche en cette année 2017. L'Ardèche est à sec ! Et ce n'est pas l'annulation de la 33ème édition du marathon international des gorges de l'Ardèche qui viendra apportera un démenti à cette affirmation. C'est pourquoi il lui apparaît nécessaire de l'alerter sur cet épisode climatique sans précèdent qui affecte directement l'ensemble du monde agricole ardéchois : arboriculteurs, viticulteurs, éleveurs et castanéiculteurs qui en sont les plus grandes victimes. En effet, les niveaux de précipitations de 2017 sont au plus bas et le déficit pluviométrique s'est aggravé depuis le mois de juillet 2017 jusqu'au mois de novembre 2017 où les précipitations sont quasi inexistantes sur l'ensemble du département. Rien que pour la filière castanéicole, on a pu constater une baisse de la production de 50 à 80 % selon les exploitations. La récolte de châtaignes est très mauvaise et une majorité des fruits récupérés par les producteurs sont très petits en raison de la sécheresse d'avant juillet 2017et sa poursuite cet automne. Cette sécheresse inédite a également de graves conséquences sur la production de fourrage et de céréales. Les productions fourragères, et notamment l'herbe (le foin), sont très pénalisées par cette climatologie. La pâture des animaux a été stoppée dès la fin du mois de mai, et le stock de fourrage de 2015 est déjà fortement mobilisé. La pénurie d'eau oblige certains paysans à déployer des solutions temporaires, comme le remplissage de cuves au quotidien, avec une eau puisée à une source éloignée. Par ailleurs, des dommages collatéraux se font ressentir car les sangliers, en manque de nourriture dans la forêt, se tournent vers les champs cultivés, voir les centres villes comme c'est le cas dans la ville préfecture de Privas. Les dégâts causés par ces animaux sauvages suscitent l'ire des agriculteurs et la panique chez les riverains. Cette situation conduit l'ensemble de la filière agricole à être fragilisée et les pertes constatées sont très importantes. Ainsi, elles ne pourront être compensées sans une prise en considération du caractère catastrophique de cet épisode. Il lui demande quel dispositif il envisage de mettre en œuvre pour aider les agriculteurs victimes de cette sécheresse. Enfin, il souhaite attirer son attention sur le fait que les effets ne se limitent pas au monde agricole, des fissures sur les murs des maisons de particuliers dans les communes d'Alissas, Chomérac ou Rompon sont à mettre en corrélation avec la sécheresse de la terre."
18,19,Mme Christine Pires Beaune,Justice,05/12/2017,"Mme Christine Pires Beaune attire l'attention de Mme la garde des sceaux, ministre de la justice, sur les cinq chantiers de la justice. Les récentes annonces du Gouvernement au sujet des cinq chantiers de la justice ne sont pas aussi rassurantes qu'elles veulent bien le paraître et la question de la carte judiciaire est de nouveau posée quelques années seulement après la réforme du gouvernement Fillon. La cour d'appel de Riom est avant tout utile car elle répond au besoin d'équilibre de ce très vaste territoire. Cette région compte déjà de nombreux déserts médicaux, et personne ne veut d'un désert juridique, synonyme de moins d'accès aux droits pour les citoyens. C'est donc une cour d'appel de plein exercice qui doit être conservée à Riom, d'autant que les locaux viennent de subir des travaux importants et que les délais de jugement y sont tout à fait acceptables. Elle souhaite donc connaître les intentions du Gouvernement sur l'avenir de cette cour d'appel."
19,20,Mme Pascale Boyer,Transition écologique et solidaire,05/12/2017,"Mme Pascale Boyer appelle l'attention de M. le ministre d'État, ministre de la transition écologique et solidaire, sur l'élevage de montagne et les nombreux enjeux auxquels il est de plus en plus confronté. Tout d'abord, les problèmes de financement des indemnités et plus précisément, l'indemnité compensatrice de handicaps naturels (ICHN) destinée aux zones présentant des handicaps naturels et spécifiques. Le financement de cette mesure fondamentale pour les zones de montagne se doit d'être pérennisé pour la fin de programmation 2014-2020. Une forte inquiétude commence à gagner les agriculteurs de ces zones à handicaps, d'autant plus que le règlement du solde des indemnités au titre de l'année 2016 demeure impayé. Une autre menace est celle du danger que représente le loup pour les éleveurs et leurs troupeaux. En 2016, les dégâts dus à la prédation du loup ont atteint un niveau incommensurable en termes de dommages (plus de 2 800 attaques pour environ 10 600 victimes lors de la dernière estimation en juillet 2017) et de coût budgétaire (plus de 26 millions d'euros). Depuis quelques années, la population de loups ne cesse de s'accroître, en 2016, elle a augmenté de 22 %, mais le nombre maximum de spécimens de loups dont la destruction est autorisée, demeure constant et est fixé à 40 pour la période du 1er juillet 2017 au 30 juin 2018. De plus, cette année comme les précédentes, l'État a publié cet arrêté le 18 juillet 2017, ce qui a représenté 18 jours d'attente pour les éleveurs sans pouvoir défendre leurs troupeaux. Il lui demande s'il envisage de modifier la période sur laquelle porte l'autorisation de l'arrêté, en la déplaçant du 1er juillet au 30 juin à la période du 1er janvier au 31 décembre. Elle souhaite également savoir s'il envisage de faire évoluer les mesures relatives à la protection des cheptels pour garantir le droit des éleveurs de se défendre contre le loup à tout moment."
20,21,M. Jean-René Cazeneuve,Transports,05/12/2017,"M. Jean-René Cazeneuve attire l'attention de Mme la ministre, auprès du ministre d'État, ministre de la transition écologique et solidaire, chargée des transports, sur les travaux d'aménagement de la route nationale 124 visant à relier intégralement Auch à Toulouse par une route nationale deux fois deux voies. En effet, une partie du tronçon entre Toulouse et Auch, soit vingt kilomètres sur soixante-quinze, comporte une route deux fois une voie, faisant de Auch une des seules préfecture de France à ne pas être reliée intégralement à une métropole par une route nationale à deux fois deux voies. Aussi, il lui demande comment accélérer la réalisation de ces travaux d'aménagement qui constituent une priorité pour le développement économique du Gers et qui s'inscrivent pleinement dans la volonté présidentielle de réorienter les budgets dédiés à la mobilité vers les transports de la vie quotidienne."
21,22,M. Mickaël Nogal,Cohésion des territoires (M. le SE auprès du ministre),05/12/2017,"M. Mickaël Nogal alerte M. le secrétaire d'État, auprès du ministre de la cohésion des territoires, sur l'état de l'hébergement d'urgence à l'approche de la période hivernale. À Toulouse comme dans d'autres villes et métropoles, la situation de l'hébergement des personnes précaires est critique. Dans le cadre du dispositif d'accueil hivernal du 12 décembre 2016 au 31 mars 2017, l'État a financé 105 places d'hébergement pour des familles et la ville 25 pour femmes isolées. Or, à Toulouse, ce sont aujourd'hui 135 enfants qui, chaque soir, dorment sur les trottoirs. La situation est d'autant plus inacceptable qu'à l'approche des grands froids, les besoins ne cessent d'augmenter. Pourtant, des solutions existent. Il n'est pas rare en effet que des immeubles en attente de rénovation, en particulier dans le centre-ville où les règlements sont multiples et lourds, restent vides pendant au minimum 12 mois, voire 18 à 24 mois. À Toulouse, des associations proposent d'utiliser ces bâtiments pour l'hébergement d'urgence pendant la période d'inoccupation avant le démarrage des travaux, dans le cadre d'une mise à disposition gratuite par le propriétaire, évitant par la même occasion des coûts de gardiennage. Autre piste : une association à but non lucratif toulousaine propose une solution d'hébergement d'urgence, visant à installer des modules d'hébergement dans des bureaux inoccupés. Ce système permet d'exploiter le domaine intercalaire, c'est-à-dire les bâtiments non utilisés de la ville. Il lui demande quelles solutions à court, moyen et long terme, il entend mettre en place pour pallier l'urgence humaine immédiate et ce qu'il envisage pour encourager des solutions innovantes lorsque les dispositifs actuels ne suffisent plus pour répondre à ces situations de crise inacceptables."
22,23,Mme Sandrine Mörch,Armées,05/12/2017,"Mme Sandrine Mörch appelle l'attention de Mme la ministre des armées sur un dossier particulièrement sensible pour les Toulousains : celui de la dépollution du site des ballastières de Braqueville. Après des années d'attente et d'inquiétude des riverains et des élus locaux concernant ces étangs remplis de 5 000 tonnes de nitrocellulose depuis la première guerre mondiale et situés près de l'oncopole et de l'ancien site AZF, Bernard Cazeneuve avait annoncé en janvier 2017 qu'une dépollution pourrait avoir lieu d'ici 2022. Chacun s'est réjoui de cette décision en raison du caractère hautement inflammable de cette matière à l'air sec et de son extrême dangerosité. Mais il reste désormais à la mettre en œuvre et éventuellement à accélérer ces démarches. En effet, outre l'exposition des salariés de l'oncopole, des visiteurs et des populations limitrophes, un projet de téléphérique entre l'oncopole et Rangueil conduira dès 2020 à ce que des habitants survolent les ballastières. Par ailleurs, le site de 70 hectares qui accueille ces étangs pourrait, s'il était dépollué, accueillir un nouveau projet ambitieux de développement pour l'oncopole. Ce serait une perspective très positive pour l'ensemble des Toulousains. Parce qu'il apparaît nécessaire, pour la sécurité de tous, que la dépollution soit engagée au plus vite, elle souhaite connaître les engagements du ministère des armées sur cette question, le calendrier prévu pour cette dépollution et les possibilités de réhabilitation de ce site pour l'avenir."
23,24,M. Yannick Haury,Transports,05/12/2017,"M. Yannick Haury alerte Mme la ministre, auprès du ministre d'État, ministre de la transition écologique et solidaire, chargée des transports, des dangers que l'inadaptation de la RD 751 à l'actuelle densité de circulation fait courir aux usagers. Constatant sur cette route l'augmentation inquiétante de graves accidents, souvent mortels, les élus du Pays de Retz ont approuvé la réalisation de deux fois deux voies sur l'axe Nantes-Pornic et ont pris conscience de la nécessité d'améliorer le tracé de cette route sur sa totalité. Afin de sauver des vies et de répondre favorablement à la forte attente des habitants du Pays de Retz, il souhaiterait que l'État s'engage aux côtés de la région et du département pour que ce dossier se concrétise rapidement et pour que des financements nationaux, complémentaires à ceux des collectivités territoriales, permettent de répondre sans délai à l'urgence de cette nécessité."
